country,year,co2,gdp,label
Afghanistan,1966,0.107398838704098,0.0137594297961115,3
Albania,1966,1.3330554645866202,0.0137594297961115,4
Algeria,1966,0.653388930284424,0.023559813008212898,3
American Samoa,1966,2.80689601610312,0.127280320401009,4
Andorra,1966,1.3330554645866202,0.0137594297961115,4
Angola,1966,0.268937203624441,0.0137594297961115,3
Antigua and Barbuda,1966,5.814611430097481,0.127280320401009,1
Argentina,1966,2.80689601610312,0.127280320401009,4
Armenia,1966,2.80689601610312,0.127280320401009,4
Aruba,1966,2.158729333472,0.029330878797489204,4
Australia,1966,10.3280924384173,0.234399529013149,6
Austria,1966,5.361724682623731,0.148696860600566,2
Azerbaijan,1966,5.361724682623731,0.148696860600566,2
"Bahamas, The",1966,7.465217480410709,0.232270581564547,1
Bahrain,1966,3.38430534191934,0.0112665364752713,2
Bangladesh,1966,0.355616101158531,0.0112665364752713,3
Barbados,1966,1.13388031378662,0.033004058594026796,4
Belarus,1966,7.465217480410709,0.232270581564547,1
Belgium,1966,11.0420194279754,0.19576260804276202,6
Belize,1966,0.7377729816731899,0.0406094253261097,3
Benin,1966,0.0423826477102961,0.0112940836383512,3
Bermuda,1966,3.95460784313725,0.263085046638536,2
Bhutan,1966,4.58058802692171,0.12375635792503001,2
Bolivia,1966,0.410061862692137,0.0162326054493388,3
Bosnia and Herzegovina,1966,7.465217480410709,0.232270581564547,1
Botswana,1966,4.58058802692171,0.00899795529147183,2
Brazil,1966,0.75037499196875,0.033004058594026796,3
British Virgin Islands,1966,1.21935269341609,0.0876153926382849,4
Brunei Darussalam,1966,4.58058802692171,0.12375635792503001,2
Bulgaria,1966,5.90543671471388,0.0112665364752713,1
Burkina Faso,1966,0.0195336696877687,0.0082545684006557,3
Burundi,1966,0.0150358177395587,0.00521825516980849,3
Cabo Verde,1966,0.0921916574134209,0.028156604850038503,3
Cambodia,1966,0.0712792067588413,0.013884297549347701,3
Cameroon,1966,0.0583257781807192,0.014401536525703699,3
Canada,1966,12.9349181464485,0.30471061470795796,6
Cayman Islands,1966,2.1713642823306496,0.0393480684289771,4
Central African Republic,1966,0.0504124579577399,0.009439823569002099,3
Chad,1966,0.0250108090251357,0.0128342693976729,3
Chile,1966,2.05328166708329,0.0772725716153161,4
China,1966,0.710891381561055,0.0104324566181147,3
Colombia,1966,1.2189900026629,0.028156604850038503,4
Comoros,1966,0.0866997356686543,0.028156604850038503,3
"Congo, Dem. Rep.",1966,0.134673888531956,0.0253759208730228,3
"Congo, Rep.",1966,0.259548931480255,0.0185892255165537,3
Costa Rica,1966,0.6040796899352979,0.0393480684289771,3
Cote d'Ivoire,1966,0.295285765090541,0.0233614905479198,3
Croatia,1966,0.155222598483639,0.0227740956309102,3
Cuba,1966,1.87111962596946,0.0393480684289771,4
Curacao,1966,1.87111962596946,0.0393480684289771,4
Cyprus,1966,2.12384314033688,0.0393480684289771,4
Czech Republic,1966,2.12384314033688,0.0393480684289771,4
Denmark,1966,10.4490116586529,0.248713618090884,6
Djibouti,1966,1.13403756632703,0.0393480684289771,4
Dominica,1966,0.221236802413273,0.0393480684289771,3
Dominican Republic,1966,0.418059321025372,0.024598754536481398,3
Ecuador,1966,0.448236783819308,0.0449920206994069,3
"Egypt, Arab Rep.",1966,0.850377447407366,0.0168963240415533,3
El Salvador,1966,0.396317617064476,0.028218973306852503,3
Equatorial Guinea,1966,0.090541293658688,0.024376909130671,3
Eritrea,1966,0.850377447407366,0.0168963240415533,3
Estonia,1966,2.40773570917425,0.08896598720115291,4
Eswatini,1966,0.5254676671356371,0.0200246112320211,3
Ethiopia,1966,0.0321779069803721,0.08896598720115291,3
Faroe Islands,1966,3.73752112222729,0.21864745917492,2
Fiji,1966,0.677364981874437,0.031612981033934395,3
Finland,1966,6.44405024461516,0.201021345619725,1
France,1966,6.89913997676309,0.21864745917492,1
French Polynesia,1966,1.25116057858332,0.222975273749127,4
Gabon,1966,0.7021812899198889,0.045266282659222494,3
"Gambia, The",1966,0.0794338087696581,0.010641322452411301,3
Georgia,1966,11.3189607765995,0.198674715869685,6
Germany,1966,2.12384314033688,0.0393480684289771,4
Ghana,1966,0.181470236171928,0.0267748224961421,3
Gibraltar,1966,2.06545003942774,0.0267748224961421,4
Greece,1966,2.16520985120015,0.0997430467475556,4
Greenland,1966,9.59758024691358,0.0997430467475556,6
Grenada,1966,0.3090081739276989,0.0997430467475556,3
Guam,1966,0.354693440362956,0.0283192724592174,3
Guatemala,1966,0.354693440362956,0.0283192724592174,3
Guinea,1966,0.185709073733581,0.0267748224961421,3
Guinea-Bissau,1966,0.100161153751605,0.010641322452411301,3
Guyana,1966,1.77688790973307,0.0344168077242364,4
Haiti,1966,0.0701078587758346,0.008498525219834959,3
Honduras,1966,0.334080805696526,0.0227740956309102,3
"Hong Kong SAR, China",1966,1.42340092013554,0.06859266141350841,4
Hungary,1966,6.0650407278841305,0.008498525219834959,1
Iceland,1966,7.65013038809633,0.32156941780432896,1
India,1966,0.337039496119538,0.00899973043737176,3
Indonesia,1966,0.22708433820262,0.008498525219834959,3
"Iran, Islamic Rep.",1966,2.50392395835529,0.026497962767297996,4
Iraq,1966,3.20236576311945,0.026497962767297996,2
Ireland,1966,5.23113645804486,0.10745065055495799,2
Isle of Man,1966,0.257871284653986,0.008498525219834959,3
Israel,1966,5.1720182578927405,0.151388360593382,2
Italy,1966,4.07944062148937,0.14024423544103198,2
Jamaica,1966,1.97712805570501,0.0615964343736665,4
Japan,1966,4.24622062498103,0.106855843990563,2
Jordan,1966,1.25024880372957,0.051937351929330806,4
Kazakhstan,1966,4.24622062498103,0.106855843990563,2
Kenya,1966,0.272471888157006,0.0118207910365875,3
Kiribati,1966,0.231946699276814,0.013884297549347701,3
"Korea, Dem. People's Rep.",1966,3.70378502142294,0.120781182440348,2
"Korea, Rep.",1966,1.01966409960248,0.013347484853035399,4
Kuwait,1966,67.1902616554115,0.45711557420975096,0
Kyrgyz Republic,1966,0.272471888157006,0.0118207910365875,3
Lao PDR,1966,0.0962152708452823,0.45711557420975096,3
Latvia,1966,34.8035250602734,0.290043321843978,7
Lebanon,1966,1.69910189800044,0.45711557420975096,4
Lesotho,1966,1.69450400135478,0.006020278873248779,4
Liberia,1966,0.480886688057243,0.45711557420975096,3
Libya,1966,1.4577008564115,0.45711557420975096,4
Liechtenstein,1966,0.43375244539668,0.45711557420975096,3
Lithuania,1966,2.8650437053292994,0.006020278873248779,4
Luxembourg,1966,34.8035250602734,0.290043321843978,7
"Macao SAR, China",1966,0.705228693788141,0.290043321843978,3
Madagascar,1966,0.0978925393066459,0.0152107897230998,3
Malawi,1966,0.101178182401313,0.00614076384008598,3
Malaysia,1966,0.785832561378693,0.032109416045208096,3
Maldives,1966,0.0978925393066459,0.0152107897230998,3
Mali,1966,0.0338340314812423,0.0534273631491705,3
Malta,1966,1.3146288071066,0.0534273631491705,4
Marshall Islands,1966,1.7779249031837698,0.0534273631491705,4
Mauritania,1966,0.176837159590707,0.0262312267835933,3
Mauritius,1966,0.357726781414986,0.0262312267835933,3
Mexico,1966,1.7779249031837698,0.0534273631491705,4
"Micronesia, Fed. Sts.",1966,3.73752112222729,0.21864745917492,2
Moldova,1966,0.374605379480082,0.0196314451478043,3
Monaco,1966,0.374605379480082,0.0196314451478043,3
Mongolia,1966,1.71454048468282,0.00128028124617684,4
Montenegro,1966,1.30486447234045,0.00128028124617684,4
Morocco,1966,0.374605379480082,0.0196314451478043,3
Mozambique,1966,0.258555913327131,0.00128028124617684,3
Myanmar,1966,0.1131537676719049,0.00128028124617684,3
Namibia,1966,17.6429242903348,0.032109416045208096,5
Nauru,1966,5.44154987633965,0.0081164422366702,2
Nepal,1966,0.0170672175415953,0.0081164422366702,3
Netherlands,1966,8.32153181563217,0.183580142351034,1
New Caledonia,1966,16.1583315508021,0.175621963938739,5
New Zealand,1966,5.23759258567211,0.219131254193959,2
Nicaragua,1966,0.4506407914171521,0.0284558690002172,3
Niger,1966,0.0336842215022012,0.017435491295026,3
Nigeria,1966,0.252017802580184,0.0124307792527789,3
North Macedonia,1966,1.77907935716014,0.0534273631491705,4
Northern Mariana Islands,1966,1.71454048468282,0.00128028124617684,4
Norway,1966,5.212731800484519,0.231719488382656,2
Oman,1966,0.0456942058264162,0.0105556687350545,3
Pakistan,1966,0.3889420172906779,0.0125546992015402,3
Palau,1966,5.90499194847021,0.0225614436519951,1
Panama,1966,1.22427718937221,0.0686069400752079,4
Papua New Guinea,1966,0.134280931911581,0.0153945682703236,3
Paraguay,1966,0.230139599853501,0.0208850135309286,3
Peru,1966,1.10048512413016,0.050753095321049,4
Philippines,1966,0.5060165216893271,0.0225614436519951,3
Poland,1966,7.975704744168429,0.0153945682703236,1
Portugal,1966,1.3270358605261,0.057500768066822104,4
Puerto Rico,1966,0.312345637502302,0.120781182440348,3
Qatar,1966,78.6212147777082,0.222975273749127,0
Romania,1966,4.38102251053189,0.222975273749127,2
Russian Federation,1966,15.7168239087457,0.222975273749127,5
Rwanda,1966,0.0132475372357432,0.0037488839319314003,3
Samoa,1966,0.1964384106771149,0.0876153926382849,3
San Marino,1966,0.396317617064476,0.028218973306852503,3
Sao Tome and Principe,1966,0.166248564347458,0.00818711142362567,3
Saudi Arabia,1966,1.27878994758694,0.0037488839319314003,4
Senegal,1966,0.4538532810503879,0.0329053313388876,3
Serbia,1966,0.0443261249488652,0.00818711142362567,3
Seychelles,1966,0.150598574919403,0.0337646246557856,3
Sierra Leone,1966,0.117846197258169,0.014715582102386,3
Singapore,1966,0.3488047973531839,0.0566807677554886,3
Sint Maarten (Dutch part),1966,0.5254676671356371,0.0200246112320211,3
Slovak Republic,1966,3.24239771702326,0.0562907542399196,2
Slovenia,1966,3.24239771702326,0.0562907542399196,2
Solomon Islands,1966,0.1820561012801869,0.0566807677554886,3
Somalia,1966,0.0443261249488652,0.00818711142362567,3
South Africa,1966,6.45385807777342,0.0621220543396537,1
South Sudan,1966,0.6793412540463211,0.00818711142362567,3
Spain,1966,2.40773570917425,0.08896598720115291,4
Sri Lanka,1966,0.233926752083468,0.015389879134789501,3
St. Kitts and Nevis,1966,0.455047465409195,0.029925085685294197,3
St. Lucia,1966,0.3002015943348919,0.45711557420975096,3
St. Martin (French part),1966,0.705228693788141,0.290043321843978,3
St. Vincent and the Grenadines,1966,0.210972648923562,0.018525395922597,3
Sudan,1966,0.292215358800363,0.014068578071749101,3
Suriname,1966,3.24239771702326,0.0562907542399196,2
Sweden,1966,9.29736416046677,0.34544297893867904,6
Switzerland,1966,5.32762003122,0.27847335477164603,2
Syrian Arab Republic,1966,0.88550842417058,0.023791567395035802,3
Tajikistan,1966,0.289095663382824,0.0161005521595517,3
Tanzania,1966,0.1144269856714499,0.0444549482834463,3
Thailand,1966,0.289095663382824,0.0161005521595517,3
Timor-Leste,1966,1.42007722390315,0.0161005521595517,4
Togo,1966,0.1012857803181469,0.0121834175439114,3
Tonga,1966,0.143290697371506,0.0161005521595517,3
Trinidad and Tobago,1966,4.41212204286687,0.0787338406706973,2
Tunisia,1966,0.621834111004214,0.02242950877888,3
Turkey,1966,0.9946306304556628,0.0444549482834463,4
Turkmenistan,1966,0.289095663382824,0.0161005521595517,3
Turks and Caicos Islands,1966,0.88550842417058,0.023791567395035802,3
Tuvalu,1966,0.9946306304556628,0.0444549482834463,4
Uganda,1966,0.0887524484372962,0.011203215371760101,3
Ukraine,1966,0.0887524484372962,0.011203215371760101,3
United Arab Emirates,1966,0.160452309365604,0.0137594297961115,3
United Kingdom,1966,11.3189607765995,0.198674715869685,6
United States,1966,18.1210730107855,0.414631664631665,5
Uruguay,1966,1.98509514405934,0.0664439841081964,4
Uzbekistan,1966,18.1210730107855,0.414631664631665,5
Vanuatu,1966,1.00805058121269,0.0876153926382849,4
"Venezuela, RB",1966,5.69006340874696,0.0876153926382849,1
Vietnam,1966,0.2254339193500619,0.0876153926382849,3
Virgin Islands (U.S.),1966,1.21935269341609,0.0876153926382849,4
West Bank and Gaza,1966,0.230139599853501,0.0208850135309286,3
"Yemen, Rep.",1966,0.0170228503254937,0.0876153926382849,3
Zambia,1966,0.9511215922636708,0.0343373669975069,4
Zimbabwe,1966,1.30790359350599,0.0277234531745448,4
