country,year,co2,gdp,label
Afghanistan,1967,0.1234094132886969,0.0160898434161304,1
Albania,1967,1.3637463001081598,0.0160898434161304,1
Algeria,1967,0.6358886088307211,0.0253923765521058,1
American Samoa,1967,2.8710992816465004,0.10625434122744601,1
Andorra,1967,1.3637463001081598,0.0160898434161304,1
Angola,1967,0.17209582227887,0.0160898434161304,1
Antigua and Barbuda,1967,9.22139124755062,0.10625434122744601,2
Argentina,1967,2.8710992816465004,0.10625434122744601,1
Armenia,1967,2.8710992816465004,0.10625434122744601,1
Aruba,1967,0.81901660809,0.0277234531745448,1
Australia,1967,10.9556247987118,0.258027109571187,2
Austria,1967,5.4177367270534695,0.156966718289967,2
Azerbaijan,1967,5.4177367270534695,0.156966718289967,2
"Bahamas, The",1967,11.1724795408233,0.25566342667874803,2
Bahrain,1967,5.12474752626747,0.0122870628479594,2
Bangladesh,1967,0.365431270830069,0.0122870628479594,1
Barbados,1967,1.42551582220983,0.035311071062340896,1
Belarus,1967,11.1724795408233,0.25566342667874803,2
Belgium,1967,11.2172567535028,0.208663600544654,2
Belize,1967,1.0736777662434498,0.0420375933569588,1
Benin,1967,0.0522840572249999,0.0111951560996903,1
Bermuda,1967,4.09011538461538,0.29827497043718,1
Bhutan,1967,3.91334507230137,0.12364196643446501,1
Bolivia,1967,0.449587673863772,0.0179583038401343,1
Bosnia and Herzegovina,1967,11.1724795408233,0.25566342667874803,2
Botswana,1967,3.91334507230137,0.0100405143511268,1
Brazil,1967,0.7518873653864621,0.035311071062340896,1
British Virgin Islands,1967,0.398024530554651,0.08928794648437641,1
Brunei Darussalam,1967,3.91334507230137,0.12364196643446501,1
Bulgaria,1967,6.638369161079369,0.0122870628479594,2
Burkina Faso,1967,0.0192168294177924,0.00843630702039477,1
Burundi,1967,0.0146535043026667,0.00548064431207722,1
Cabo Verde,1967,0.0740742237053676,0.0293644264112561,1
Cambodia,1967,0.0625247440121173,0.0144011778454244,1
Cameroon,1967,0.0757341816553018,0.0154677890714907,1
Canada,1967,13.8103545953361,0.321715929360795,2
Cayman Islands,1967,1.7220004695938,0.0412235106379122,1
Central African Republic,1967,0.0536642732625185,0.00958964839249802,1
Chad,1967,0.0341631009745206,0.013096078277098102,1
Chile,1967,2.06818039041929,0.0753127957880928,1
China,1967,0.5741621469750179,0.00965895319417819,1
Colombia,1967,1.24590145092821,0.0293644264112561,1
Comoros,1967,0.0849235757295044,0.0293644264112561,1
"Congo, Dem. Rep.",1967,0.1247033237533609,0.0184130439160172,1
"Congo, Rep.",1967,0.2646031682255789,0.0194660335629878,1
Costa Rica,1967,0.516526967564898,0.0412235106379122,1
Cote d'Ivoire,1967,0.327629172160888,0.0238310487673876,1
Croatia,1967,0.164868169014292,0.0240546842888042,1
Cuba,1967,1.90528119164233,0.0412235106379122,1
