country,year,co2,gdp,label
Afghanistan,1992,0.0987191160179498,1.40454745656146,1
Albania,1992,0.689859284104687,0.0200852219772323,1
Algeria,1992,2.4478019914659903,0.17760282780527,1
American Samoa,1992,3.1631046641997003,0.0369707232276548,2
Andorra,1992,6.96307869977243,2.05498055751695,2
Angola,1992,0.5032644640537629,1.40454745656146,1
Antigua and Barbuda,1992,4.498983850199349,0.774572179961652,2
Argentina,1992,3.20167542914679,0.682353883710424,2
Armenia,1992,3.1631046641997003,0.0369707232276548,2
Aruba,1992,1.7133214393248302,1.40454745656146,1
Australia,1992,15.3392397827951,1.8604188269961301,0
Austria,1992,7.35520218898572,2.48801641180361,2
Azerbaijan,1992,6.04443240314278,0.00604582135796365,2
"Bahamas, The",1992,9.51027711368728,1.16867397416813,0
Bahrain,1992,23.457125269078304,0.9082827988321589,0
Bangladesh,1992,0.109460956832488,0.029364498757687103,1
Barbados,1992,4.48856936361216,0.74441781733805,2
Belarus,1992,8.592404072043848,1.16867397416813,0
Belgium,1992,11.1825020572101,2.3372619171015003,0
Belize,1992,2.57302237500257,0.266853142174924,1
Benin,1992,0.0675193485133083,0.0317962736015867,1
Bermuda,1992,2.57302237500257,2.8669681713456803,1
Bhutan,1992,0.374163977363079,0.0449400428209885,1
Bolivia,1992,0.952391991137448,0.0788152320018064,1
Bosnia and Herzegovina,1992,3.77213828276298,1.16867397416813,2
Botswana,1992,2.42016925050292,0.304098939623392,1
Brazil,1992,1.35265678686564,0.21275071898116898,1
British Virgin Islands,1992,5.09541585744004,0.29381601966453097,2
Brunei Darussalam,1992,13.1075476107022,1.5274667707504699,0
Bulgaria,1992,6.45537954540452,0.121198087810931,2
Burkina Faso,1992,0.0656117868886138,0.0361046875627391,1
Burundi,1992,0.0351767782608917,0.019048887993529603,1
Cabo Verde,1992,0.309194604273069,0.100392954109172,1
Cambodia,1992,0.140275786352288,0.05130359436594759,1
Cameroon,1992,0.20240811251715,0.0965780738944037,1
Canada,1992,15.0151928373723,2.08798483300891,0
Cayman Islands,1992,2.05748936373934,0.20571035954969602,1
Central African Republic,1992,0.0506887588553262,0.0477122324295377,1
Chad,1992,0.0644984591947352,0.029603969656896798,1
Chile,1992,2.29521995116845,0.335021408876441,1
China,1992,2.07574443977098,0.0366460692306116,1
Colombia,1992,1.54578821661417,0.169711293600516,1
Comoros,1992,0.1603834539264159,0.10479651439192801,1
"Congo, Dem. Rep.",1992,0.0396422373789495,0.0220368007258444,1
