country,year,co2,gdp,label
Afghanistan,2004,1.8382370093188538,12.002779541015625,1
Albania,2004,74.58272587790049,75.80138671875,1
Algeria,2004,54.90632793078893,100.5842578125,1
Angola,2004,6.746419138032786,55.9324365234375,1
Argentina,2004,121.50047949566074,180.32611328125,1
Armenia,2004,107.88007994334768,64.7214208984375,1
Aruba,2004,123.8201875295139,394.4066796875,2
Australia,2004,465.15675716313143,414.725390625,0
Austria,2004,491.67471123203603,486.332734375,0
Azerbaijan,2004,187.0698145234336,56.1076318359375,1
Bahamas,2004,328.48739706915393,398.045234375,0
Bahrain,2004,310.89210267668227,476.6139453125,0
Bangladesh,2004,3.192398533920679,21.71688720703125,1
Barbados,2004,118.06286860652973,152.10072265625,1
Belarus,2004,411.3954304341689,108.399560546875,0
Belgium,2004,929.9705712886059,455.4046875,0
Belize,2004,26.13707337294459,74.1387939453125,1
Benin,2004,2.298392839169185,26.1421240234375,1
Bhutan,2004,6.314892230224102,51.6517333984375,1
Bolivia,2004,19.71016270305159,56.0520166015625,1
Botswana,2004,24.18385763427386,113.055732421875,1
Brazil,2004,41.15432085915951,123.163740234375,1
Bulgaria,2004,452.832058405595,137.015009765625,0
Burkina Faso,2004,0.9220312447488864,14.47503662109375,1
Burundi,2004,0.5402741719355237,8.17461181640625,1
Cambodia,2004,2.223153999184868,19.020966796875,1
Cameroon,2004,4.058217016396045,31.60892578125,1
Canada,2004,636.2604493377299,404.2623046875,0
Cape Verde,2004,8.201903737509463,47.09037109375,1
Central African Republic,2004,1.3522103032293127,10.378447265625,1
Chad,2004,0.6598928022212549,14.303682861328125,1
Chile,2004,85.71797600997728,178.07169921875,1
China,2004,64.54951112873232,48.172119140625,1
Colombia,2004,41.12911369667408,97.164990234375,1
Comoros,2004,2.7717304791974895,28.0400390625,1
Congo,2004,4.3261764825388935,44.389775390625,1
Costa Rica,2004,25.401750183223573,138.02728515625,1
Croatia,2004,187.92772329405975,228.18541015625,2
Cyprus,2004,137.02309490782173,364.983515625,2
Denmark,2004,578.9896944389241,504.4654296875,0
Dominica,2004,30.274330808254398,101.224658203125,1
Dominican Republic,2004,34.84085176885445,95.333193359375,1
Ecuador,2004,34.775168712849286,91.7841796875,1
Egypt,2004,26.736044537232296,81.8406591796875,1
El Salvador,2004,20.369841070438824,67.4998291015625,1
Equatorial Guinea,2004,19.56136575859689,290.041875,2
Estonia,2004,1023.0303658501639,236.9115234375,0
Ethiopia,2004,0.7819505708238238,7.9309375,1
Fiji,2004,32.95275693023836,106.30484375,1
Finland,2004,423.99773929318167,437.2496484375,0
France,2004,511.71268391103433,412.726328125,0
Gabon,2004,76.48963537759859,157.671796875,1
Gambia,2004,2.4873569471011,23.41173095703125,1
Georgia,2004,141.7331820846414,66.32814453125,1
Germany,2004,957.4388838419667,436.0527734375,0
Ghana,2004,5.052172594767515,30.718056640625,1
Greece,2004,256.3789889254385,345.650625,2
Grenada,2004,31.955356431065546,126.1482421875,1
Guatemala,2004,12.113825289841216,66.7670458984375,1
Guinea,2004,3.2784577563969313,17.780516357421874,1
Guyana,2004,84.740018250928,81.284248046875,1
Haiti,2004,3.185912105623515,28.32076171875,1
Honduras,2004,10.976067827997309,43.9047314453125,1
Hong Kong,2004,126.43390954437021,408.62671875,2
Hungary,2004,421.11775737240185,233.67607421875,0
Iceland,2004,258.28936521685495,460.517421875,2
India,2004,16.328561059347685,30.549189453125,1
Indonesia,2004,23.67326150817728,64.23720703125,1
Iran,2004,103.61620095726092,117.640966796875,1
Iraq,2004,50.47686764702776,74.5834033203125,1
Ireland,2004,312.74653605963954,550.408203125,2
Israel,2004,151.4521038172074,293.28705078125,2
Italy,2004,309.9310362939986,441.1803515625,0
Jamaica,2004,111.01956088629143,98.842353515625,1
Japan,2004,371.98854687679454,375.76390625,0
Jordan,2004,29.19684004838263,101.054609375,1
Kazakhstan,2004,502.5773948424987,152.084404296875,0
Kenya,2004,4.6724767154170985,32.292216796875,1
Kiribati,2004,8.59936600829066,20.89882080078125,1
Kuwait,2004,348.4582778639702,682.338671875,2
Kyrgyzstan,2004,109.02703034088954,35.63875244140625,1
Laos,2004,2.656437002579861,33.99349853515625,1
Latvia,2004,447.1241017350111,181.6918359375,0
Lebanon,2004,69.5355028718123,142.841396484375,1
Liberia,2004,7.152544156437093,12.194140625,1
Libya,2004,186.40898026097048,180.48943359375,2
Lithuania,2004,485.27064404166464,192.2646875,0
Luxembourg,2004,907.9853829298686,1076.348359375,0
Madagascar,2004,1.7657135280990488,15.336993408203124,1
Malawi,2004,1.5635645356550942,11.001143798828124,1
Malaysia,2004,71.74118699386158,175.38486328125,1
Mali,2004,0.937395739234004,18.9908203125,1
Malta,2004,129.26529291974663,282.233828125,2
Mauritania,2004,7.746282150925047,43.07255859375,1
Mauritius,2004,39.742448646331695,134.139931640625,1
Mexico,2004,98.80356521014517,176.3524609375,1
Moldova,2004,397.098397003846,67.1046923828125,0
Mongolia,2004,82.79289605651657,55.4478076171875,1
Montenegro,2004,109.16176831738115,135.050390625,1
Morocco,2004,22.475705931856265,51.2054833984375,1
Mozambique,2004,3.120174519991466,7.92727294921875,1
Namibia,2004,8.966552552150127,79.4255712890625,1
Nepal,2004,1.4805336134646345,22.3415478515625,1
Netherlands,2004,517.8404484305239,485.86703125,0
New Zealand,2004,253.16369698269412,365.0419921875,2
Nicaragua,2004,14.36450203154917,42.0021484375,1
Niger,2004,0.8746773549137349,9.292172241210938,1
Nigeria,2004,9.66651715558345,38.54008056640625,1
Norway,2004,353.9068297242028,606.9956640625,2
Oman,2004,88.04960865747816,365.1575390625,2
Pakistan,2004,9.881954473485496,35.60811767578125,1
Palau,2004,392.0713375796178,147.75375,0
Panama,2004,35.15873996644272,154.910009765625,1
Papua New Guinea,2004,7.84016357116441,27.653466796875,1
Paraguay,2004,12.600357718857989,85.280380859375,1
Peru,2004,34.86713016909338,71.363515625,1
Philippines,2004,15.414363401126087,49.0805859375,1
Poland,2004,568.501889460472,182.87828125,0
Portugal,2004,170.55230606185555,308.928203125,2
Puerto Rico,2004,0.06421336567040964,350.169453125,2
Qatar,2004,282.1856056979981,937.48546875,2
Romania,2004,364.1276081147888,159.24041015625,0
Russia,2004,617.6539830675151,187.6551953125,0
Rwanda,2004,1.1694421261175936,10.692978515625,1
Saint Lucia,2004,38.56370338657934,136.485849609375,1
Samoa,2004,15.899488267935354,57.36208984375,1
Saudi Arabia,2004,199.75355185913742,432.1025,2
Senegal,2004,6.710523964815188,27.1287744140625,1
Serbia,2004,273.30051700751864,115.996494140625,1
Seychelles,2004,56.06243581844321,168.96705078125,1
Sierra Leone,2004,2.7785321340996765,12.311605224609375,1
Singapore,2004,227.42698457031483,640.1142578125,2
Slovakia,2004,580.7234919826567,188.34390625,0
Slovenia,2004,285.1394333733992,300.41814453125,2
Solomon Islands,2004,7.532651362124502,20.61388916015625,1
South Africa,2004,229.2375224949926,120.270810546875,1
South Korea,2004,169.30225047142946,275.15951171875,2
Spain,2004,215.05390741911614,372.497734375,2
Sri Lanka,2004,10.651562285937757,65.8946337890625,1
Sudan,2004,3.9548797457979235,44.1489697265625,1
Suriname,2004,127.36306387936055,154.015185546875,1
Sweden,2004,401.961803417785,443.54390625,0
Switzerland,2004,270.8419203219231,602.7193359375,2
Tajikistan,2004,41.580069381571214,18.37651123046875,1
Tanzania,2004,1.5873390028615946,16.458399658203124,1
Thailand,2004,44.719289153260604,118.8632421875,1
Togo,2004,3.7810391109472703,16.941458740234374,1
Tonga,2004,22.356098747871005,53.4483203125,1
Tunisia,2004,38.491056696857115,88.607265625,1
Turkey,2004,61.19689416046809,169.68873046875,1
Turkmenistan,2004,221.35285028075953,50.34248046875,1
Uganda,2004,0.9108774182884357,14.4615087890625,1
Ukraine,2004,659.0133919070901,109.020380859375,0
United Arab Emirates,2004,208.16488250504787,977.578515625,2
United Kingdom,2004,1048.0350467677347,419.9760546875,0
United States,2004,969.5827208913331,529.9455078125,0
Uruguay,2004,76.45411263429818,135.93732421875,1
Uzbekistan,2004,130.59496199742333,34.30628662109375,1
Vietnam,2004,14.0230074685353,36.89732421875,1
Zambia,2004,8.87054970170112,22.61766845703125,1
Zimbabwe,2004,37.998816092877334,31.09347412109375,1
