country,year,co2,gdp,label
Afghanistan,2005,1.8699244866811118,12.86793701171875,1
Albania,2005,76.06001996255877,80.400927734375,1
Algeria,2005,57.277490269351475,105.048447265625,1
Angola,2005,7.280460497512896,62.1022216796875,1
Argentina,2005,125.0476794954498,194.26439453125,1
Armenia,2005,109.45397592996002,74.1987109375,1
Aruba,2005,123.8201875295139,394.0719140625,2
Australia,2005,479.96347591719626,422.222734375,0
Austria,2005,500.519381087579,493.8702734375,0
Azerbaijan,2005,190.37992989816448,71.0659814453125,1
Bahamas,2005,333.13460281376837,404.0153125,0
Bahrain,2005,324.3438137849104,474.931484375,0
Bangladesh,2005,3.4124895409314475,22.7953125,1
Barbados,2005,122.74677508122215,157.523603515625,1
Belarus,2005,417.80622339656804,119.401865234375,2
Belgium,2005,940.7497026835267,463.421875,0
Belize,2005,27.176770169170336,73.63849609375,1
Benin,2005,2.484849467500006,25.81642333984375,1
Bhutan,2005,6.79859416835473,54.5670751953125,1
Bolivia,2005,20.62441969190395,57.4953173828125,1
Botswana,2005,25.739837645649008,116.003291015625,1
Brazil,2005,42.84660212988598,125.6594140625,1
Bulgaria,2005,460.3013356182209,147.79193359375,2
Burkina Faso,2005,0.9715192829491639,15.27022216796875,1
Burundi,2005,0.5522131216728929,7.98704833984375,1
Cambodia,2005,2.3885687257787853,21.205517578125,1
Cameroon,2005,4.186870059384114,31.44939208984375,1
Canada,2005,651.2354198007419,420.4687109375,0
Cape Verde,2005,8.943167736942994,49.6479736328125,1
Central African Republic,2005,1.3909574658764856,10.269139404296874,1
Chad,2005,0.7031000690333609,16.181365966796875,1
Chile,2005,88.82587877523123,186.34626953125,1
China,2005,68.67084328977388,53.34646484375,1
Colombia,2005,42.28691136434683,100.491259765625,1
Comoros,2005,2.9425006035082353,28.157021484375,1
Congo,2005,4.3261764825388935,46.349716796875,1
Costa Rica,2005,26.699496740772567,141.4951953125,1
Croatia,2005,193.72014768911347,237.719453125,2
Cyprus,2005,143.3795234153264,377.22421875,2
Denmark,2005,587.7459306888967,514.832734375,0
Dominica,2005,32.23888804872348,101.60994140625,1
Dominican Republic,2005,36.438572580327,102.913037109375,1
Ecuador,2005,36.44004866396311,95.036943359375,1
Egypt,2005,28.22305719456806,83.970322265625,1
El Salvador,2005,21.3637358610389,69.004892578125,1
Equatorial Guinea,2005,24.36092251037072,323.9020703125,2
Estonia,2005,1035.9680369394493,260.9698828125,0
Ethiopia,2005,0.8221202259777692,8.623553466796874,1
Fiji,2005,34.116821867007395,106.56142578125,1
Finland,2005,434.29369462048874,447.8691015625,0
France,2005,518.1421937873658,416.4398828125,0
Gabon,2005,78.52350782254608,157.611484375,1
Gambia,2005,2.607865803003113,22.1618603515625,1
Georgia,2005,143.07321202280215,73.151982421875,1
Germany,2005,967.8346959583455,439.492890625,0
Ghana,2005,5.255389867388062,31.7217041015625,1
Greece,2005,267.3497433936022,346.703359375,2
Grenada,2005,33.678725744989556,142.469931640625,1
Guatemala,2005,12.792447427996155,67.536826171875,1
Guinea,2005,3.410114232704138,17.943831787109374,1
Guyana,2005,86.74253579086118,79.6536767578125,1
Haiti,2005,3.3347545394059694,28.7203369140625,1
Honduras,2005,11.63081599868109,45.4624072265625,1
Hong Kong,2005,132.27331912112183,436.90390625,2
Hungary,2005,427.16531023221114,244.19828125,2
Iceland,2005,266.27103317520294,481.0465234375,2
India,2005,17.165405410196826,32.452998046875,1
Indonesia,2005,24.94000198307566,66.9927197265625,1
Iran,2005,108.85049152139845,119.9821484375,1
Iraq,2005,53.0111168339569,74.1165966796875,1
