country,year,co2,gdp,label
Afghanistan,2014,0.2340369144237579,0.061422334236039204,3
Albania,2014,1.80678854066866,0.457863320812155,3
Algeria,2014,3.56620883406526,0.549305669453687,2
American Samoa,2014,1.88160773079824,1.15251563872309,3
Andorra,2014,5.8071276179415,4.13039293714464,2
Angola,2014,1.28536455265954,0.540841170002082,3
Antigua and Barbuda,2014,5.18571335969404,1.35015809223367,2
Argentina,2014,4.216360632301759,1.23347982453893,2
Armenia,2014,1.88160773079824,0.39862316237671297,3
Aruba,2014,0.925816482499597,2.68930115056581,3
Australia,2014,15.755876100915598,6.25116905895284,0
Austria,2014,7.253383781344941,5.171749594055149,2
Azerbaijan,2014,3.4221006454167795,0.789131314749986,2
"Bahamas, The",2014,7.069139966273191,3.00651602023609,2
Bahrain,2014,22.6185245866057,2.4989437527708,0
Bangladesh,2014,0.4128985227131559,0.111887380783368,3
Barbados,2014,4.52909681383306,1.64890722373387,2
Belarus,2014,6.27684109501799,0.8341399678610929,2
Belgium,2014,8.04349554115034,4.770054036011779,2
Belize,2014,1.3866642517955905,0.471843658122355,3
Benin,2014,0.535635874149484,0.12914101848057902,3
Bermuda,2014,1.3866642517955905,9.8467683993982,1
Bhutan,2014,1.30727498529316,0.26522256543802303,3
Bolivia,2014,1.88389931104579,0.30818788232141303,3
Bosnia and Herzegovina,2014,5.59718744920459,0.533035507495756,2
Botswana,2014,3.4137389346740603,0.7495220866088049,2
Brazil,2014,2.49936201612059,1.2112834955487501,3
British Virgin Islands,2014,6.26935290325628,1.6055645317382599,2
Brunei Darussalam,2014,17.0092098648537,4.17258675220155,0
Bulgaria,2014,5.84584197704908,0.790178587639382,2
Burkina Faso,2014,0.171727227334835,0.079284623742527,3
Burundi,2014,0.0396168300827047,0.0274857836231788,3
Cabo Verde,2014,0.9647369355324192,0.358862558418407,3
Cambodia,2014,0.43405659076634,0.109349597573908,3
Cameroon,2014,0.341682842226338,0.160421403479187,3
Canada,2014,15.8541384273439,5.09559983232404,0
Cayman Islands,2014,2.3773075382494,7.49904332223775,1
Central African Republic,2014,0.0672017268155723,0.0424449131659484,3
Chad,2014,0.0687961162689495,0.102028797948927,3
Chile,2014,4.30148844789357,1.4670988914269498,2
China,2014,7.252919143571289,0.763611660125502,2
Colombia,2014,1.69946558599221,0.811434392085161,3
Comoros,2014,0.210695426592397,0.15138303792438002,3
"Congo, Dem. Rep.",2014,0.0649337929489086,0.0486787095119436,3
"Congo, Rep.",2014,0.861310987098279,0.377648556784338,3
Costa Rica,2014,1.63281818579928,1.08471696672929,3
Cote d'Ivoire,2014,0.395625651943387,0.215664588308951,3
Croatia,2014,3.85523839364438,1.37623728630599,2
Cuba,2014,2.3773075382494,0.713333767875907,3
Curacao,2014,2.3773075382494,2.0258009694883303,3
Cyprus,2014,5.85786476923918,2.7163332965760603,2
Czech Republic,2014,9.47712222694416,1.98909199056648,2
Denmark,2014,6.33652138088678,6.254898473329081,2
Djibouti,2014,0.511846463864196,0.246429490507649,3
Dominica,2014,2.53196607165464,0.731748614321654,3
Dominican Republic,2014,2.09735546299122,0.660882550130065,3
Ecuador,2014,2.58277544547861,0.6377093928772569,3
"Egypt, Arab Rep.",2014,2.39591700795628,0.337955798627058,3
El Salvador,2014,1.04684196848227,0.358904288461991,3
Equatorial Guinea,2014,7.20858472047354,1.93940806626191,2
Eritrea,2014,0.205348482414318,0.337955798627058,3
Estonia,2014,13.5560212849313,2.02341174174704,0
Eswatini,2014,0.876694714809383,0.403915934079483,3
Ethiopia,2014,0.125695422925035,0.056692640288853,3
Faroe Islands,2014,4.59237682939366,5.94338345726758,1
Fiji,2014,1.5119216755323797,0.560560914844185,3
Finland,2014,8.45187193583022,5.02602998588958,2
France,2014,4.59237682939366,4.30112631028417,2
French Polynesia,2014,10.2616469900283,0.335211259506043,2
Gabon,2014,2.91962898416552,0.966342411002585,3
"Gambia, The",2014,0.256912299528121,0.0607429904651813,3
Georgia,2014,2.27724044701665,0.473918833846421,3
Germany,2014,9.10678232951564,4.79599932737599,2
Ghana,2014,0.527833773133592,0.201226424719728,3
Gibraltar,2014,0.527833773133592,0.201226424719728,3
Greece,2014,6.385178380584719,2.15879575508932,2
Greenland,2014,2.29568411386593,5.04849275739023,3
Grenada,2014,2.29568411386593,0.8370040472060669,3
Guam,2014,0.9113884751889352,3.48432055749129,3
Guatemala,2014,0.9113884751889352,0.377964233613025,3
Guinea,2014,0.200879385380823,0.0787238564407157,3
Guinea-Bissau,2014,0.165442295204596,0.0623313091387687,3
Guyana,2014,2.69855679610569,0.5407147366117281,3
Haiti,2014,0.290074696130167,0.143513647023104,3
Honduras,2014,1.05632477810759,0.21906531391773001,3
"Hong Kong SAR, China",2014,10.617913695706,4.03152855640552,0
Hungary,2014,4.11798832165675,1.4298833667395,2
Iceland,2014,6.26172163745548,5.45767448146565,2
India,2014,1.6493275187685,0.157388564182956,3
Indonesia,2014,1.92079996715062,0.349163749125449,3
"Iran, Islamic Rep.",2014,7.88309478990649,0.5585525603932471,2
Iraq,2014,4.90643526177491,0.6637684374545509,2
Ireland,2014,7.63245694263742,5.55258972513665,2
Isle of Man,2014,0.3311257014878599,9.23346463139171,1
Israel,2014,7.876383022749129,3.7847649943210597,2
Italy,2014,5.38731095718742,3.5518415291674903,2
Jamaica,2014,2.57379039677066,0.483428400949801,3
Japan,2014,9.58405355290864,3.8475395246183797,0
Jordan,2014,2.86921299696305,0.413144735046027,3
Kazakhstan,2014,11.8710444673951,1.28072606866152,0
Kenya,2014,0.321841107580519,0.146222005213295,3
Kiribati,2014,0.5485112490515329,0.16428201286476798,3
"Korea, Dem. People's Rep.",2014,1.2539013312146,2.89814573305866,3
"Korea, Rep.",2014,11.5475582343263,2.92495752209742,0
