country,year,co2,gdp,label
Afghanistan,2016,0.208857195602366,0.0512012778129357,3
Albania,2016,1.71412617289866,0.412405538986272,3
Algeria,2016,3.53501992705652,0.394645244712537,3
American Samoa,2016,1.7267527817919202,1.20382496994923,3
Andorra,2016,6.08060029756129,3.7475635058752603,2
Angola,2016,1.2277029417926002,0.350607312818832,3
Antigua and Barbuda,2016,5.289885738468049,1.51987429664112,2
Argentina,2016,4.22753944174089,1.27902424732447,3
Armenia,2016,1.7267527817919202,0.359182805221639,3
Aruba,2016,0.8975983597692941,2.84521706146796,3
Australia,2016,15.8720795379851,4.98817637140466,0
Austria,2016,7.25562651573804,4.52768314351693,2
Azerbaijan,2016,3.34706182082623,0.388073873089556,3
"Bahamas, The",2016,5.7948312222331,3.17329191396131,2
Bahrain,2016,21.1811953067521,2.26084525623673,0
Bangladesh,2016,0.466776363121019,0.140156463513179,3
Barbados,2016,4.58365698850237,1.69000482858522,2
Belarus,2016,5.81064068180991,0.5039681886284989,2
Belgium,2016,8.32375671826537,4.1984103033560904,2
Belize,2016,1.7643913257093502,0.48569732485311196,3
Benin,2016,0.6650066335101529,0.108728733148547,3
Bermuda,2016,1.7643913257093502,10.6885878489327,1
Bhutan,2016,1.66959411216958,0.29305749227006,3
Bolivia,2016,1.95887859684466,0.30766564398936697,3
Bosnia and Herzegovina,2016,6.5972430375313404,0.49949715509344395,2
Botswana,2016,3.2964107550030697,0.698291749241303,3
Brazil,2016,2.14349752363003,0.8710063289953519,3
British Virgin Islands,2016,5.428918568867919,0.70745487647385,2
Brunei Darussalam,2016,15.269503157523598,2.71584056535724,0
Bulgaria,2016,5.855926256295401,0.756947881476759,2
Burkina Faso,2016,0.187704296015038,0.06882506962581969,3
Burundi,2016,0.0438596407590311,0.026056522079627,3
Cabo Verde,2016,1.03550852882479,0.313099875340636,3
Cambodia,2016,0.627921977840063,0.12695914989524598,3
Cameroon,2016,0.3573436353065379,0.14132559568153,3
Canada,2016,15.2447471768292,4.23156037056806,0
Cayman Islands,2016,2.5099010966635698,7.84716287315261,1
Central African Republic,2016,0.0683168039724238,0.0402191645130502,3
Chad,2016,0.0700469685526195,0.06934497674485371,3
Chile,2016,4.73170735993575,1.3753592148509601,2
China,2016,7.11870541429571,0.809436336675194,2
Colombia,2016,1.7386593989486,0.5870777957241651,3
Comoros,2016,0.2513835522255609,0.12730509520025501,3
"Congo, Dem. Rep.",2016,0.0261457386317123,0.0471318822463486,3
"Congo, Rep.",2016,0.672556251801849,0.20509934147723202,3
Costa Rica,2016,1.64920307568209,1.20112227544354,3
Cote d'Ivoire,2016,0.3912230699375039,0.20133814476165102,3
Croatia,2016,4.05811780471638,1.25277398569824,3
Cuba,2016,2.5099010966635698,0.806079659761513,3
Curacao,2016,2.5099010966635698,1.9555365849289101,3
Cyprus,2016,6.11012409106563,2.46059208328767,2
Czech Republic,2016,9.734693174509369,1.8575232027191502,0
Denmark,2016,6.17666519436942,5.46639983719195,2
Djibouti,2016,0.527382450218864,0.280216620395446,3
Dominica,2016,2.52429635239177,0.8080968623411859,3
Dominican Republic,2016,2.35243473147717,0.728088361041225,3
Ecuador,2016,2.3655160754432902,0.606009296156791,3
"Egypt, Arab Rep.",2016,2.4771546382841203,0.35198732398108,3
El Salvador,2016,1.12804365292944,0.380599568574434,3
Equatorial Guinea,2016,4.60836698401308,0.9250316493339509,2
Eritrea,2016,0.195465322970907,0.35198732398108,3
Estonia,2016,11.8939952424019,1.82829233927131,0
Eswatini,2016,1.1041352107821,0.34255319569284604,3
Ethiopia,2016,0.144300198619813,0.0717124869806118,3
Faroe Islands,2016,4.686612202390911,5.6854102653706,2
Fiji,2016,1.9944842195033,0.565127272132772,3
Finland,2016,8.31801267373246,4.37842839622098,2
France,2016,4.686612202390911,3.70373741861219,2
French Polynesia,2016,9.939321069529733,0.352761382413178,0
Gabon,2016,2.8437926133109395,0.698441971208387,3
"Gambia, The",2016,0.246610960507814,0.06907804931527921,3
Georgia,2016,2.58886305987517,0.40621698875737905,3
Germany,2016,9.0730063894536,4.21075172703074,2
Ghana,2016,0.4954015257454129,0.197195693464599,3
Gibraltar,2016,0.4954015257454129,0.197195693464599,3
Greece,2016,6.2036172888735495,1.7911799377494602,2
Greenland,2016,2.53938311128846,4.8181874188064,3
Grenada,2016,2.53938311128846,0.96282591689029,3
Guam,2016,1.10313002086849,3.62140069224538,3
Guatemala,2016,1.10313002086849,0.41733016661947403,3
Guinea,2016,0.2410883768652619,0.07322915119016621,3
Guinea-Bissau,2016,0.1683091772261969,0.0661457838679603,3
Guyana,2016,2.99469899385892,0.581139792362577,3
Haiti,2016,0.313653830967891,0.129038050812318,3
Honduras,2016,1.01393688609627,0.232629727827042,3
"Hong Kong SAR, China",2016,10.3737599450635,4.373110682452991,2
Hungary,2016,4.53229017294946,1.31073779137744,2
Iceland,2016,6.17101768130718,6.19879263620283,2
India,2016,1.64835905308142,0.17325542423165902,3
Indonesia,2016,1.89244089035547,0.356281633352183,3
"Iran, Islamic Rep.",2016,7.61349440100359,0.525342656033356,2
Iraq,2016,4.707648860036071,0.455065863784829,3
Ireland,2016,8.14033080739843,6.28189663649805,2
Isle of Man,2016,0.3500490105759559,8.219712677026001,1
Israel,2016,7.636321085888129,3.7330261796968,2
Italy,2016,5.49816520549801,3.09397142462298,2
Jamaica,2016,2.6666740071886603,0.484374989999401,3
Japan,2016,9.22394197021634,3.9400739355925705,2
Jordan,2016,2.60197360640031,0.41753566019230104,3
Kazakhstan,2016,12.5333994977536,0.7714841843760241,0
Kenya,2016,0.38265880019117,0.152523519224992,3
Kiribati,2016,0.7109278497098531,0.15847380150617502,3
"Korea, Dem. People's Rep.",2016,1.18896784827838,3.06271634017011,3
"Korea, Rep.",2016,12.003248167439,2.92888704389833,0
Kuwait,2016,22.7149695895384,2.7653157620028104,0
Kyrgyz Republic,2016,1.59552594785755,0.112066651300848,3
Lao PDR,2016,2.24369574083444,0.232440091700425,3
Latvia,2016,3.64882112458198,1.43220226779514,3
Lebanon,2016,4.14191780177207,0.765373362998424,3
Lesotho,2016,1.09395428813214,0.10189310929194499,3
Liberia,2016,0.307404658772108,0.0740914906030102,3
Libya,2016,7.88335469242902,0.403519680169994,2
Liechtenstein,2016,3.98353472314434,16.5642386275555,1
Lithuania,2016,3.90484587887098,1.49981250595137,3
Luxembourg,2016,15.223001508554802,10.6826726448542,0
"Macao SAR, China",2016,3.64882112458198,7.3545758237307,1
Madagascar,2016,0.129346514894733,0.0475955556826336,3
Malawi,2016,0.0790456263560902,0.0315777987100071,3
Malaysia,2016,7.45128215891124,0.9817787090310091,2
Maldives,2016,3.68029778866679,0.9209443563854789,3
Mali,2016,0.246027819623535,0.07807235695280869,3
Malta,2016,2.96471332320207,2.57414460613677,3
Marshall Islands,2016,3.11834104256536,0.349099838885713,3
Mauritania,2016,0.674907746595919,0.153685488788877,3
Mauritius,2016,3.19753568141147,0.9681618566896739,3
Mexico,2016,3.88580937201112,0.874451555912786,3
"Micronesia, Fed. Sts.",2016,1.54243977679989,0.301470035839042,3
Moldova,2016,2.90489156617907,0.288043928129296,3
Monaco,2016,1.79580675137932,17.002865571786398,1
Mongolia,2016,5.94498419360559,0.365839030030916,2
Montenegro,2016,3.39063125197854,0.7028936576850939,3
Morocco,2016,1.79580675137932,0.289672219562665,3
Mozambique,2016,0.208049391428581,0.0428926672944529,3
Myanmar,2016,0.41266694088564,0.113661066545868,3
Namibia,2016,1.84899009518058,0.454698668754958,3
Nauru,2016,5.72847049837693,0.952104210071383,2
Nepal,2016,0.342583453365919,0.0899523581017634,3
Netherlands,2016,9.2934281775427,4.600785292065471,2
New Caledonia,2016,1.84899009518058,3.2391197218039403,3
New Zealand,2016,6.61419995333149,4.0080494113717196,2
Nicaragua,2016,0.853430457314994,0.21075740596602,3
Niger,2016,0.0947626145996287,0.0500214911266535,3
Nigeria,2016,0.583027843306121,0.217600277201515,3
North Macedonia,2016,3.5516108165052303,0.514958907435906,3
Northern Mariana Islands,2016,5.94498419360559,2.18911847936355,2
Norway,2016,7.249949804365981,7.04605605323322,2
Oman,2016,15.5250348442596,1.6772739213480101,0
Pakistan,2016,0.886749484691346,0.136842696140417,3
Palau,2016,14.6743424765775,1.68359860029349,0
Panama,2016,2.66777439991796,1.43439802572159,3
Papua New Guinea,2016,0.9224148748888692,0.250962963689931,3
Paraguay,2016,1.05490243406565,0.532460906777777,3
Peru,2016,1.82790966161974,0.62049964574796,3
Philippines,2016,1.20504926058478,0.307365468570946,3
Poland,2016,7.894108854688691,1.24474395912808,2
Portugal,2016,4.722311430046839,1.9978401214967998,2
Puerto Rico,2016,0.5432910192745,3.06271634017011,3
Qatar,2016,32.1280420015378,5.71629680117767,0
Romania,2016,3.61075200127985,0.9548587402982679,3
Russian Federation,2016,10.6060314351022,0.870489841329594,0
Rwanda,2016,0.089983322233962,0.07447607487559771,3
Samoa,2016,1.54209931119564,0.41096632277408096,3
San Marino,2016,1.12804365292944,4.3828232460931495,3
Sao Tome and Principe,2016,0.5904901560370239,0.170009799666364,3
Saudi Arabia,2016,17.160324198637,1.9878763836501598,0
Senegal,2016,0.66161941756949,0.126990329385985,3
Serbia,2016,6.55113212460412,0.576520076202711,2
Seychelles,2016,5.703602775753349,1.50686203494184,2
Sierra Leone,2016,0.130989244418562,0.0501415165523953,3
Singapore,2016,8.232150936558758,5.68481753918367,2
Sint Maarten (Dutch part),2016,1.1041352107821,3.16166816992667,3
Slovak Republic,2016,5.80025255956859,1.65010838450986,2
Slovenia,2016,6.74562551270144,2.1663643413767,2
Solomon Islands,2016,0.581171965555875,0.222548684209273,3
Somalia,2016,0.0465259397975487,0.0389822061534188,3
South Africa,2016,7.56445088105357,0.575696574098804,2
South Sudan,2016,0.1597042977995889,0.576520076202711,3
Spain,2016,5.31429460704187,2.65053432155204,2
Sri Lanka,2016,1.03428760081121,0.38862915016523897,3
St. Kitts and Nevis,2016,4.84223982645412,1.95411278329793,2
St. Lucia,2016,1.94414202235208,1.03623516588778,3
St. Martin (French part),2016,3.64882112458198,7.3545758237307,1
St. Vincent and the Grenadines,2016,2.46649675244594,0.70745487647385,3
Sudan,2016,0.51396033465945,0.10698399568172899,3
Suriname,2016,4.0893423947968,0.587278942866166,3
Sweden,2016,3.90906658564348,5.19651571531985,2
Switzerland,2016,4.730490994153111,8.30732800824812,1
Syrian Arab Republic,2016,1.5149808763723502,0.0707505266723622,3
Tajikistan,2016,0.687937716243006,0.080710258610434,3
Tanzania,2016,0.205846527728178,0.09665030165696109,3
Thailand,2016,3.78012232419006,0.599330551610045,3
Timor-Leste,2016,0.565903571671687,0.135375493422806,3
Togo,2016,0.306260279692866,0.08031518934041,3
Tonga,2016,1.483048752756,0.41578772487609506,3
Trinidad and Tobago,2016,13.2335145470661,1.6250628687992799,0
Tunisia,2016,2.56459206885527,0.392436334591653,3
Turkey,2016,4.69247155642438,1.08946033779275,2
Turkmenistan,2016,12.7190535554806,0.638768257527254,0
Turks and Caicos Islands,2016,1.5149808763723502,2.8241479293178,3
Tuvalu,2016,0.8903133903133901,0.325389953558627,3
Uganda,2016,0.143004243745513,0.07365598474121329,3
Ukraine,2016,4.47175785501208,0.218773050991433,3
United Arab Emirates,2016,21.307609517171,3.81418671313451,0
United Kingdom,2016,5.774741667985411,4.14995557033073,2
United States,2016,15.1317468158119,5.80214004997125,0
Uruguay,2016,1.90704875006534,1.6715633474625302,3
Uzbekistan,2016,3.3707089007438498,0.270467718798168,3
Vanuatu,2016,0.646723626251231,0.280566532016404,3
"Venezuela, RB",2016,5.428918568867919,0.70745487647385,2
Vietnam,2016,2.3907407093954705,0.21921744824754502,3
Virgin Islands (U.S.),2016,5.428918568867919,3.53249748874586,2
West Bank and Gaza,2016,1.05490243406565,0.352761382413178,3
"Yemen, Rep.",2016,0.4004680470299659,0.11527209657707001,3
Zambia,2016,0.34161502260312,0.128080654257604,3
Zimbabwe,2016,0.783302583301985,0.146458895715841,3
